State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Chennai,PvrAmpaSkywalkMallAminjikarai,Tamil,09:40,Prime,190₹,159,8
TamilNadu,Chennai,PvrAmpaSkywalkMallAminjikarai,Tamil,09:40,Classic,60₹,32,6
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tamil,09:50,Recliner,350₹,32,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tamil,09:50,Prime,190₹,96,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tamil,09:50,Classic,150₹,180,1
TamilNadu,Chinnamanur,BharathTheatreDtsChinnamanur,Tamil,10:00,FirstClass,130₹,150,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,10:00,Club,190₹,196,6
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,10:00,Executive,60₹,28,3
TamilNadu,Chennai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,10:00,Premium,150₹,91,0
TamilNadu,Chennai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,10:00,Executive,110₹,210,0
TamilNadu,Chennai,InoxChandraMetroMallVirugambakkam,Tamil,10:05,Silver,152₹,171,11
TamilNadu,Chennai,InoxChandraMetroMallVirugambakkam,Tamil,10:05,Premiere,60₹,22,22
TamilNadu,Chennai,InoxTheMarinaMallOmr,Tamil,10:10,Club,190₹,180,18
TamilNadu,Chennai,InoxTheMarinaMallOmr,Tamil,10:10,Executive,60₹,24,24
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Tamil,10:15,PremiumOffline,300₹,50,12
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Tamil,10:15,ExecutiveOffline,180₹,102,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Tamil,10:15,NormalOffline,100₹,17,0
TamilNadu,Chennai,InoxChennaiCitiCentre,Tamil,10:25,Club,152₹,146,10
TamilNadu,Chennai,InoxChennaiCitiCentre,Tamil,10:25,Executive,60₹,25,25
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,10:25,Club,178₹,283,8
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,10:25,Executive,60₹,20,10
TamilNadu,NeyveliTownship,SriNidhiRathinaCineplex4K3DDolbyAtmosNeyveliTownship,Tamil,10:30,FirstClass,150₹,479,20
TamilNadu,NeyveliTownship,SriNidhiRathinaCineplex4K3DDolbyAtmosNeyveliTownship,Tamil,10:30,SecondClass,150₹,50,50
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Tamil,10:30,Gold,230₹,112,15
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Tamil,10:30,Silver,180₹,240,15
TamilNadu,Batlagundu,GovindasamyTheatreACBatlagundu,Tamil,10:30,Box1,150₹,21,0
TamilNadu,Batlagundu,GovindasamyTheatreACBatlagundu,Tamil,10:30,Box2,150₹,21,0
TamilNadu,Batlagundu,GovindasamyTheatreACBatlagundu,Tamil,10:30,FirstClass,100₹,247,0
TamilNadu,Erode,VelTheatreDtsSivagiri,Tamil,10:30,Firstclass,80₹,182,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,10:30,Recliner,350₹,9,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,10:30,Classic,190₹,73,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,10:30,Recliner,350₹,9,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,10:30,Classic,190₹,73,4
TamilNadu,Karaikudi,PandianCinemasACDtsKaraikudiKaraikudi,Tamil,10:30,Balcony,110₹,152,152
TamilNadu,Karaikudi,PandianCinemasACDtsKaraikudiKaraikudi,Tamil,10:30,FirstClass,110₹,116,57
TamilNadu,Karaikudi,PandianCinemasACDtsKaraikudiKaraikudi,Tamil,10:30,SecondClass,110₹,397,0
TamilNadu,Karaikudi,PandianCinemasACDtsKaraikudiKaraikudi,Tamil,10:30,ThirdClass,110₹,92,92
TamilNadu,Karaikudi,PandianCinemasACDtsKaraikudiKaraikudi,Tamil,10:30,Box,110₹,12,12
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Tamil,10:30,SilverOffline,180₹,147,16
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Tamil,10:30,ExecutiveOffline,100₹,26,0
TamilNadu,Periyakulam,ParvathyTheatreAC4KDolbyAtmos,Tamil,10:30,Firstclass,100₹,272,0
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Tamil,10:30,GoldClass,140₹,204,0
Karnataka,Bangalore,PvrForumMallKoramangala,Tamil,10:40,Recliner,350₹,12,0
