State,City,Name,Language,Time,Type,Price,Capacity,Booked
Telangana,Warangal,RamLaxmanWarangal,Telugu,06:00,Platinum,150₹,588,535
Telangana,Warangal,RamLaxmanWarangal,Telugu,06:00,GoldClass,110₹,175,175
Telangana,Warangal,RamLaxmanWarangal,Telugu,06:30,Platinum,150₹,352,204
Telangana,Warangal,RamLaxmanWarangal,Telugu,06:30,Gold,100₹,145,145
Gujarat,Surat,InoxDrWorldParvatPatiya,Telugu,07:00,Club,112₹,60,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Telugu,07:00,Executive,112₹,45,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Telugu,07:00,Royal,112₹,75,0
Telangana,Hyderabad,ViswanathTheater70MmACKukatpally,Telugu,07:00,Balcony,175₹,517,474
Telangana,Hyderabad,ViswanathTheater70MmACKukatpally,Telugu,07:00,BoxA,175₹,31,31
Telangana,Hyderabad,ViswanathTheater70MmACKukatpally,Telugu,07:00,BoxB,175₹,30,30
Telangana,Hyderabad,ViswanathTheater70MmACKukatpally,Telugu,07:00,FirstClass,110₹,385,317
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,07:05,RoyalRecliners,250₹,14,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,07:05,Club,112₹,102,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,07:05,Royal,112₹,99,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,07:05,Executive,100₹,34,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,07:35,Vip,450₹,14,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,07:35,Normal,236₹,48,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,07:35,Premium,236₹,66,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,07:35,Executive,236₹,89,0
Telangana,Sangareddi,NatarajTheatreSangareddy,Telugu,07:45,BalconyClass,150₹,256,192
Telangana,Sangareddi,NatarajTheatreSangareddy,Telugu,07:45,DressCircleClass,100₹,216,144
Goa,Goa,InoxOsiaGWingMargao,Telugu,07:45,Royale,140₹,57,0
Goa,Goa,InoxOsiaGWingMargao,Telugu,07:45,Club,130₹,131,0
Goa,Goa,InoxOsiaGWingMargao,Telugu,07:45,Executive,130₹,28,0
AndhraPradesh,Rajahmundry,Raja4KDolbyAnusriCinemas,Telugu,08:00,ReservedClass,112₹,345,24
AndhraPradesh,Visakhapatnam,Jagadamba4KVizag,Telugu,08:00,PremiumClass,145₹,586,555
AndhraPradesh,Visakhapatnam,Jagadamba4KVizag,Telugu,08:00,NonPremiumClass,100₹,430,430
AndhraPradesh,Vijayawada,CinepolisPowerOneMall,Telugu,08:00,Normal,147₹,34,0
AndhraPradesh,Vijayawada,CinepolisPowerOneMall,Telugu,08:00,Premium,147₹,178,26
AndhraPradesh,Vijayawada,CinepolisPowerOneMall,Telugu,08:00,Executive,147₹,73,0
AndhraPradesh,Vijayawada,CinepolisPvpSquare,Telugu,08:00,Vip,295₹,11,11
AndhraPradesh,Vijayawada,CinepolisPvpSquare,Telugu,08:00,Normal,177₹,259,102
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,08:00,Royal,295₹,15,8
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,08:00,Club,177₹,313,11
AndhraPradesh,Vijayawada,InoxUrvasiComplexGandhiNagar,Telugu,08:00,Club,177₹,536,6
Gujarat,Surat,InoxVrSuratDumasRoad,Telugu,08:00,RoyalRecliner,280₹,14,0
Gujarat,Surat,InoxVrSuratDumasRoad,Telugu,08:00,Royal,140₹,60,0
Gujarat,Surat,InoxVrSuratDumasRoad,Telugu,08:00,Club,112₹,177,2
Gujarat,Surat,InoxVrSuratDumasRoad,Telugu,08:00,Executive,112₹,38,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Telugu,08:00,Normal,236₹,44,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Telugu,08:00,Premium,236₹,44,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Telugu,08:00,Executive,236₹,135,0
Karnataka,Bangalore,CinepolisOrionEastMall,Telugu,08:00,Normal,236₹,42,0
Karnataka,Bangalore,CinepolisOrionEastMall,Telugu,08:00,Premium,236₹,44,18
Karnataka,Bangalore,CinepolisOrionEastMall,Telugu,08:00,Executive,236₹,186,0
Karnataka,Bangalore,FunCinemaSigmaMall,Telugu,08:00,Executive,200₹,348,0
Karnataka,Bangalore,FunCinemaSigmaMall,Telugu,08:00,Normal,180₹,82,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Vip,500₹,7,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Normal,236₹,44,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Premium,236₹,58,4
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Executive,236₹,170,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Vip,500₹,7,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Normal,236₹,44,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Premium,236₹,58,6
Karnataka,Bangalore,CinepolisForumShantiniketan,Hindi,08:00,Executive,236₹,170,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,08:05,RoyalRecliners,250₹,15,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,08:05,Club,112₹,102,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,08:05,Royal,112₹,99,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,08:05,Executive,100₹,34,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Telugu,08:15,RoyalRecliner,230₹,12,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Telugu,08:15,Royal,140₹,67,2
Gujarat,Surat,InoxRelianceMegaMallUdhna,Telugu,08:15,Club,112₹,102,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Telugu,08:15,Executive,112₹,38,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:15,Couple,179₹,30,6
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:15,Recliner,179₹,72,46
AndhraPradesh,Vizianagaram,InoxNcsMallBochuPeta,Telugu,08:25,Exclusive,177₹,291,7
JammuAndKashmir,Jammu,PvrKcJammu,Telugu,08:30,Recliner,360₹,4,0
JammuAndKashmir,Jammu,PvrKcJammu,Telugu,08:30,Prime,250₹,36,11
JammuAndKashmir,Jammu,PvrKcJammu,Telugu,08:30,Classic,200₹,74,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,08:30,RoyalRecliners,250₹,6,5
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,08:30,Royal,200₹,29,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,08:30,Club,180₹,55,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,08:30,Executive,160₹,22,2
AndhraPradesh,Visakhapatnam,InoxVizagChitralayaaMall,Telugu,08:35,Royale,295₹,11,3
AndhraPradesh,Visakhapatnam,InoxVizagChitralayaaMall,Telugu,08:35,Executive,177₹,297,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,08:45,Executive,112₹,38,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,08:45,Premier,112₹,152,6
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,08:45,Silver,112₹,146,30
Maharashtra,Pune,InoxElproCitySquarePune,Telugu,08:45,RoyaleRecliners,250₹,31,0
Maharashtra,Pune,InoxElproCitySquarePune,Telugu,08:45,Royale,150₹,98,7
Maharashtra,Pune,InoxElproCitySquarePune,Telugu,08:45,Club,130₹,108,0
Maharashtra,Pune,InoxElproCitySquarePune,Telugu,08:45,Executive,130₹,36,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,08:45,Recliner,280₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,08:45,Prime,140₹,87,16
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,08:45,Classic,120₹,30,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,08:45,ClassicPlus,120₹,30,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,08:55,RoyalRecliner,230₹,8,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,08:55,Royal,140₹,38,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,08:55,Club,112₹,55,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,08:55,Executive,112₹,16,0
Uttarakhand,Kotdwar,KayCinemasKotdwar,Hindi,09:00,Gold,200₹,60,18
Uttarakhand,Kotdwar,KayCinemasKotdwar,Hindi,09:00,Silver,160₹,88,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,09:00,Royal,140₹,34,4
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,09:00,Club,112₹,116,9
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,09:00,Executive,112₹,20,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:00,RoyalRecliner,230₹,13,4
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:00,Club,140₹,111,2
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:00,Royal,140₹,51,3
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:00,Executive,112₹,53,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:00,RoyalRecliner,230₹,13,6
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:00,Club,140₹,111,4
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:00,Royal,140₹,51,3
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:00,Executive,112₹,53,0
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,09:00,Vip,600₹,2,0
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,09:00,Premium,260₹,38,2
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,09:00,Normal,240₹,42,0
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,09:00,Executive,240₹,59,2
Delhi,DelhiNcr,InoxInsigniaAtEpicuriaNehruPlace,Hindi,09:00,Insignia,553₹,36,2
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:00,Royale,230₹,6,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:00,Club,130₹,231,2
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:00,Executive,130₹,32,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Telugu,09:00,SkyBox,170₹,6,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Telugu,09:00,Normal,112₹,254,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,RoyaleRecliners,280₹,15,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,Royale,150₹,36,2
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,Club,140₹,124,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,Executive,110₹,27,0
Bihar,PatnaCity,CinepolisPMMall,Hindi,09:00,Normal,200₹,297,87
Haryana,Hisar,MirajCinemasHisar,Hindi,09:00,Executive,160₹,92,2
Haryana,Hisar,MirajCinemasHisar,Hindi,09:00,Special,140₹,117,1
UttarPradesh,Kanpur,MirajGurudevPammiCinemasLakhanpur,Hindi,09:00,Super,180₹,72,1
UttarPradesh,Kanpur,MirajGurudevPammiCinemasLakhanpur,Hindi,09:00,Balcony,150₹,168,0
UttarPradesh,Kanpur,MirajGurudevPammiCinemasLakhanpur,Hindi,09:00,Senior,130₹,240,7
UttarPradesh,Kanpur,MirajGurudevPammiCinemasLakhanpur,Hindi,09:00,FirstClass,110₹,40,5
Bihar,Muzaffarpur,CinepolisGrandMall,Hindi,09:00,Normal,150₹,26,0
Bihar,Muzaffarpur,CinepolisGrandMall,Hindi,09:00,Premium,150₹,52,14
Bihar,Muzaffarpur,CinepolisGrandMall,Hindi,09:00,Executive,150₹,103,4
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Telugu,09:00,RoyaleRecliners,230₹,6,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Telugu,09:00,Royale,160₹,67,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Telugu,09:00,Club,150₹,72,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Telugu,09:00,Executive,130₹,24,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,09:00,Vip,350₹,14,6
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,09:00,Premium,220₹,80,14
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,09:00,Executive,200₹,97,13
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,09:00,Normal,180₹,66,0
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:00,Normal,150₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:00,Premium,150₹,46,34
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:00,Executive,150₹,101,0
Odisha,Bhubaneswar,CinepolisEsplanade,Hindi,09:00,Vip,400₹,13,0
Odisha,Bhubaneswar,CinepolisEsplanade,Hindi,09:00,Premium,160₹,66,13
Odisha,Bhubaneswar,CinepolisEsplanade,Hindi,09:00,Executive,150₹,94,11
Odisha,Bhubaneswar,CinepolisEsplanade,Hindi,09:00,Normal,140₹,35,0
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,09:00,Vip,421₹,8,0
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,09:00,Executive,219₹,248,0
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,09:00,Normal,210₹,172,0
Delhi,DelhiNcr,CinepolisTheGrandVeniceMall,Hindi,09:00,Premium,140₹,40,0
Delhi,DelhiNcr,CinepolisTheGrandVeniceMall,Hindi,09:00,Executive,130₹,124,1
Delhi,DelhiNcr,CinepolisTheGrandVeniceMall,Hindi,09:00,Normal,112₹,36,0
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,09:00,Executive,280₹,128,2
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,09:00,Normal,270₹,26,0
Delhi,DelhiNcr,CinepolisV3SMall,Hindi,09:00,Executive,227₹,140,0
Delhi,DelhiNcr,CinepolisV3SMall,Hindi,09:00,Normal,219₹,162,0
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Vip,350₹,8,0
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Premium,170₹,41,5
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Executive,150₹,124,0
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Normal,130₹,26,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:00,Normal,130₹,33,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:00,Premium,130₹,64,7
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:00,Executive,130₹,145,8
UttarPradesh,Noida,PvrLogixCityCentreNoida,Telugu,09:00,Classic,190₹,87,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Hindi,09:00,Executive,160₹,152,2
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Hindi,09:00,Special,140₹,76,0
MadhyaPradesh,Bhopal,CinepolisDbMall,Hindi,09:00,Normal,150₹,119,10
MadhyaPradesh,Bhopal,CinepolisDbMall,Hindi,09:00,Executive,150₹,200,10
Gujarat,Vadodara,CinepolisInorbitMall,Hindi,09:00,Normal,110₹,26,0
Gujarat,Vadodara,CinepolisInorbitMall,Hindi,09:00,Premium,110₹,28,4
Gujarat,Vadodara,CinepolisInorbitMall,Hindi,09:00,Executive,110₹,116,6
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,09:00,Normal,150₹,38,0
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,09:00,Premium,150₹,38,4
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,09:00,Executive,150₹,148,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:00,Vip,300₹,12,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:00,Normal,150₹,40,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:00,Premium,150₹,19,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:00,Executive,150₹,185,0
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,09:00,Executive,140₹,232,2
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,09:00,Normal,120₹,110,2
MadhyaPradesh,Indore,AyouCinemaRajendraNagar,Hindi,09:00,Gold,100₹,93,0
MadhyaPradesh,Indore,AyouCinemaRajendraNagar,Hindi,09:00,Platinum,100₹,40,0
MadhyaPradesh,Indore,AyouCinemaRajendraNagar,Hindi,09:00,Silver,100₹,90,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,09:00,Recliner,250₹,21,8
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,09:00,Classic,110₹,168,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,09:00,Prime,110₹,135,48
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Hindi,09:00,Premium,170₹,54,7
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Hindi,09:00,Executive,150₹,165,2
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Hindi,09:00,Normal,130₹,20,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Hindi,09:00,Gold,130₹,177,3
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Hindi,09:00,Silver,130₹,126,2
Maharashtra,Mumbai,CinepolisMagnetMall,Hindi,09:00,Vip,300₹,1,0
Maharashtra,Mumbai,CinepolisMagnetMall,Hindi,09:00,Normal,130₹,36,0
Maharashtra,Mumbai,CinepolisMagnetMall,Hindi,09:00,Executive,130₹,116,12
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Hindi,09:00,Gold,120₹,196,32
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,09:00,Premium,147₹,55,5
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,09:00,Executive,129₹,120,13
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,09:00,Normal,112₹,32,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:00,Premium,150₹,166,4
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:00,Classic,150₹,208,0
MadhyaPradesh,Gwalior,FunCinemaDdCityMall,Hindi,09:00,Executive,120₹,208,28
MadhyaPradesh,Gwalior,FunCinemaDdCityMall,Hindi,09:00,Normal,110₹,110,2
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Normal,110₹,32,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Premium,110₹,43,4
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Executive,110₹,94,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:00,Vip,200₹,15,3
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:00,Premium,100₹,50,29
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:00,Executive,100₹,124,8
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:00,Normal,80₹,38,6
Maharashtra,Mumbai,MovietimeChembur,Hindi,09:00,Silver,130₹,123,0
Maharashtra,Mumbai,MovietimeChembur,Hindi,09:00,Gold,130₹,15,0
Delhi,DelhiNcr,FunCinemaTdiMall,Hindi,09:00,Executive,140₹,173,8
Delhi,DelhiNcr,FunCinemaTdiMall,Hindi,09:00,Normal,130₹,119,0
Maharashtra,Pune,CinepolisWestendMall,Hindi,09:00,Normal,180₹,40,0
Maharashtra,Pune,CinepolisWestendMall,Hindi,09:00,Premium,180₹,51,10
Maharashtra,Pune,CinepolisWestendMall,Hindi,09:00,Executive,180₹,171,4
UttarPradesh,Ghaziabad,ApsaraCinemaGhaziabad,Hindi,09:00,Gold,110₹,340,146
Gujarat,Vadodara,CinemarcAkota,Hindi,09:00,Sofa,80₹,26,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:00,Silver,70₹,87,2
Gujarat,Vadodara,CinemarcAkota,Hindi,09:00,Premier,70₹,12,0
Gujarat,Vadodara,CinemarcVihar,Hindi,09:00,Sofa,90₹,19,0
Gujarat,Vadodara,CinemarcVihar,Hindi,09:00,Silver,70₹,108,0
Gujarat,Vadodara,CinemarcVihar,Hindi,09:00,Premier,70₹,30,0
Gujarat,Vadodara,CinemarcVihar,Hindi,09:00,Executive,70₹,108,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:00,Sofa,90₹,35,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:00,Gold,70₹,37,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:00,Silver,70₹,158,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:00,Premium,70₹,46,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,RoyalRecliner,280₹,12,2
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Royal,140₹,54,2
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Club,112₹,159,5
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Executive,112₹,34,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Telugu,09:00,Recliner,450₹,18,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Telugu,09:00,Classic,236₹,158,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Telugu,09:00,Prime,236₹,81,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Telugu,09:00,Recliner,450₹,20,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Telugu,09:00,Prime,236₹,13,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Telugu,09:00,Classic,236₹,156,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:00,Recliner,300₹,14,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:00,Prime,160₹,40,6
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:00,Classic,140₹,142,0
Karnataka,Bangalore,PvrVrGoldWhitefieldRoad,Telugu,09:00,GoldPrime,700₹,8,0
Karnataka,Bangalore,PvrVrGoldWhitefieldRoad,Telugu,09:00,Gold,600₹,40,2
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumPremiumRecliner,400₹,16,13
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumRecliners,400₹,32,7
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,09:00,Recliner,400₹,12,4
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,09:00,Executive,200₹,26,8
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,09:00,Silver,150₹,46,13
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Hindi,09:00,GoldenClass,100₹,342,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Telugu,09:00,Recliner,320₹,12,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Telugu,09:00,Prime,130₹,140,16
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Telugu,09:00,Classic,112₹,24,0
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Hindi,09:00,GoldPrime,700₹,14,6
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Hindi,09:00,Gold,600₹,24,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Hindi,09:00,Prime,250₹,23,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Hindi,09:00,Classic,170₹,359,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,09:00,Recliner,450₹,8,1
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,09:00,Prime,170₹,110,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,09:00,Classic,140₹,48,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,09:00,Gold,112₹,141,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,09:00,Platinum,112₹,61,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,09:00,Silver,112₹,95,0
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Hindi,09:00,Gold,200₹,13,0
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Hindi,09:00,Executive,100₹,145,0
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Hindi,09:00,Special,100₹,32,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,09:00,Club,112₹,96,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,09:00,Executive,112₹,31,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,09:00,Royal,112₹,53,4
UttarPradesh,Noida,PvrLogixCityCentreNoida,Telugu,09:00,Classic,190₹,97,0
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,09:00,PrimePlus,330₹,13,0
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,09:00,Prime,150₹,116,14
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,09:00,Classic,140₹,40,0
MadhyaPradesh,Bhopal,CinepolisDbMall,Hindi,09:00,Normal,150₹,119,8
MadhyaPradesh,Bhopal,CinepolisDbMall,Hindi,09:00,Executive,150₹,200,17
Gujarat,Bhuj,NyCinemaBhuj,Hindi,09:00,Pl,200₹,35,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,09:00,Dm,170₹,189,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,09:00,Gl,150₹,54,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,09:00,Sl,130₹,72,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Classic,120₹,51,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Prime,120₹,177,41
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,ClassicPlus,120₹,83,0
Maharashtra,Malegaon,CinemaxMalegaon,Hindi,09:00,Prime,95₹,130,0
Maharashtra,Malegaon,CinemaxMalegaon,Hindi,09:00,ClassicPlus,95₹,119,0
Maharashtra,Malegaon,CinemaxMalegaon,Hindi,09:00,Classic,75₹,32,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Hindi,09:00,Platinum,250₹,16,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Hindi,09:00,Executive,130₹,189,0
Gujarat,Gandhidham,MirajCinemasMadhuban,Hindi,09:00,Special,100₹,34,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Hindi,09:00,ClassicPlus,110₹,120,23
