State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Malda,TpmcCinemaMalda,Tamil,09:00,Corporate,10₹,156,26
WestBengal,Malda,TpmcCinemaMalda,Tamil,09:00,DriveInCircle,5₹,600,0
WestBengal,Malda,TpmcCinemaMalda,Tamil,11:30,Corporate,10₹,156,26
WestBengal,Malda,TpmcCinemaMalda,Tamil,11:30,DriveInCircle,5₹,600,0
WestBengal,Malda,TpmcCinemaMalda,Tamil,15:00,Corporate,10₹,156,26
WestBengal,Malda,TpmcCinemaMalda,Tamil,15:00,DriveInCircle,5₹,600,0
WestBengal,Malda,TpmcCinemaMalda,Tamil,18:30,Corporate,10₹,156,26
WestBengal,Malda,TpmcCinemaMalda,Tamil,18:30,DriveInCircle,5₹,600,0
WestBengal,Malda,TpmcCinemaMalda,Tamil,22:00,Corporate,10₹,156,28
WestBengal,Malda,TpmcCinemaMalda,Tamil,22:00,DriveInCircle,5₹,600,0
