City,Name,Language,Time,Type,Price,Capacity,Booked
Anand,RajshivalayCinemasAnand,Hindi,08:00,Silver,100₹,100,0
Anand,RajshivalayCinemasAnand,Hindi,08:00,Gold,100₹,100,0
Anand,RajshivalayCinemasAnand,Hindi,08:00,Platinum,100₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:15,Sofa,112₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:15,Premium,99₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:15,Lounger,99₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:15,PremiumPlus,99₹,100,0
Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:30,Couple,179₹,100,0
Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:30,Recliner,179₹,100,0
PatnaCity,CinepolisPMMall,Hindi,08:40,Normal,180₹,168,102
Mumbai,CarnivalMoviestarGoregaonW,Hindi,08:40,SilverOffline,70₹,20,0
Mumbai,CarnivalMoviestarGoregaonW,Hindi,08:40,GoldOffline,70₹,55,4
Rajkot,CosmoplexMultiplexKalawadRoad,Hindi,08:45,Crew,130₹,10,0
Pune,InoxJaiGaneshVisionMallAkurdi,Hindi,08:50,Premiere,130₹,91,0
Pune,InoxJaiGaneshVisionMallAkurdi,Hindi,08:50,Silver,130₹,49,20
Mumbai,CinepolisAndheri,Hindi,08:50,Platinum,170₹,26,0
Mumbai,CinepolisAndheri,Hindi,08:50,Premium,100₹,43,2
Mumbai,CinepolisAndheri,Hindi,08:50,Executive,100₹,94,0
Mumbai,CinepolisAndheri,Hindi,08:50,Normal,80₹,32,1
Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,08:50,Gold,112₹,149,16
Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,08:50,Premiere,112₹,51,0
Kolkata,InoxStarMallMadhyamgram,Hindi,08:50,Royal,140₹,63,0
Kolkata,InoxStarMallMadhyamgram,Hindi,08:50,Club,112₹,95,0
Kolkata,InoxStarMallMadhyamgram,Hindi,08:50,Executive,112₹,30,0
Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,09:00,Gold,180₹,41,0
Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,09:00,Premier,150₹,160,0
Bareilly,PvrPhoenixUnitedBareilly,Hindi,09:00,3DRecliner,340₹,14,8
Bareilly,PvrPhoenixUnitedBareilly,Hindi,09:00,3DPrime,220₹,92,17
Bareilly,PvrPhoenixUnitedBareilly,Hindi,09:00,3DClassic,200₹,96,2
Bhopal,InoxCityCentreMallBhilwara,Hindi,09:00,Royale,112₹,22,0
Bhopal,InoxCityCentreMallBhilwara,Hindi,09:00,Club,90₹,60,0
Bhopal,InoxCityCentreMallBhilwara,Hindi,09:00,Executive,70₹,29,0
Jodhpur,InoxAnsalRoyalPlazaJodhpur,Hindi,09:00,Rr,190₹,8,4
Jodhpur,InoxAnsalRoyalPlazaJodhpur,Hindi,09:00,Club,112₹,118,2
Jodhpur,InoxAnsalRoyalPlazaJodhpur,Hindi,09:00,Royale,112₹,42,0
Jodhpur,InoxAnsalRoyalPlazaJodhpur,Hindi,09:00,Executive,90₹,34,0
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,09:00,Recliner,220₹,16,2
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,09:00,Prime,150₹,90,2
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,09:00,Classic,112₹,108,0
Indore,InoxSapnaSangeetaMallSnehaNagar,Hindi,09:00,Club,90₹,160,7
Indore,InoxSapnaSangeetaMallSnehaNagar,Hindi,09:00,Executive,90₹,80,0
Indore,InoxSapnaSangeetaMallSnehaNagar,Hindi,09:00,Royale,90₹,39,39
DelhiNcr,CinepolisSmartBharatMall,Hindi,09:00,Premium,170₹,123,30
DelhiNcr,CinepolisSmartBharatMall,Hindi,09:00,Classic,170₹,75,0
Nagpur,InoxJaswantTuliMallKampteeRoad,Hindi,09:00,Club,90₹,232,17
Nagpur,InoxJaswantTuliMallKampteeRoad,Hindi,09:00,Executive,90₹,49,0
Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,09:00,Royale,180₹,40,8
Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,09:00,Executive,160₹,18,0
Jaipur,InoxSunnyTradeCenterJaipur,Hindi,09:00,RoyaleRecliners,190₹,13,3
Jaipur,InoxSunnyTradeCenterJaipur,Hindi,09:00,Royal,112₹,47,4
Jaipur,InoxSunnyTradeCenterJaipur,Hindi,09:00,Club,100₹,101,0
Jaipur,InoxSunnyTradeCenterJaipur,Hindi,09:00,Executive,100₹,30,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,RoyaleRecliners,190₹,14,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,Club,112₹,33,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,Executive,112₹,22,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,Royale,112₹,40,2
Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Imperial,290₹,5,5
Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Platinum,170₹,20,4
Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Gold,140₹,23,0
Surat,InoxRajImperialVarachhaRoad,Hindi,09:00,Silver,120₹,10,0
Pune,CinepolisSeasonsMall,Hindi,09:00,Premium,210₹,34,9
Pune,CinepolisSeasonsMall,Hindi,09:00,Normal,190₹,29,0
Pune,CinepolisSeasonsMall,Hindi,09:00,Executive,190₹,98,4
Pune,CinepolisWestendMall,Hindi,09:00,Normal,250₹,25,0
Pune,CinepolisWestendMall,Hindi,09:00,Premium,250₹,48,16
Pune,CinepolisWestendMall,Hindi,09:00,Executive,250₹,55,0
Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:00,Executive,100₹,40,0
Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:00,Premier,100₹,160,2
Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:00,Silver,100₹,81,12
DelhiNcr,PvrSelectCityWalkGoldSaket,Hindi,09:05,Platinum,500₹,24,0
DelhiNcr,PvrSelectCityWalkGoldSaket,Hindi,09:05,PlatinumSuperior,500₹,16,0
Mumbai,InoxThakurMallDahisarE,Hindi,09:05,Gold,240₹,31,0
Mumbai,InoxThakurMallDahisarE,Hindi,09:05,Executive,150₹,69,0
Mumbai,InoxThakurMallDahisarE,Hindi,09:05,Premier,150₹,272,9
Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,09:10,Club,112₹,84,3
Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,09:10,Executive,112₹,28,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,09:10,Royale,112₹,21,4
Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:10,Vip,400₹,10,0
Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:10,Normal,140₹,25,0
Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:10,Premium,140₹,35,8
Lucknow,CinepolisOneAwadhCenterMall,Hindi,09:10,Executive,140₹,67,2
Surat,CinepolisImperialSquareMall,Hindi,09:10,Normal,110₹,29,0
Surat,CinepolisImperialSquareMall,Hindi,09:10,Premium,110₹,40,8
Surat,CinepolisImperialSquareMall,Hindi,09:10,Executive,110₹,204,1
Mumbai,MetroInoxCinemaMGRoad,Hindi,09:15,Club,130₹,108,0
Mumbai,MetroInoxCinemaMGRoad,Hindi,09:15,Royale,130₹,48,4
Mumbai,MetroInoxCinemaMGRoad,Hindi,09:15,Executive,112₹,36,0
Nashik,InoxOldVijayMamtaNasik,Hindi,09:20,Platinum,112₹,88,11
Nashik,InoxOldVijayMamtaNasik,Hindi,09:20,Silver,112₹,189,3
Nashik,InoxOldVijayMamtaNasik,Hindi,09:20,Executive,90₹,46,3
Amritsar,InoxTriliumMallCircularRoad,Hindi,09:20,Normal,130₹,163,2
Mumbai,CinepolisSeawoodsLT,Hindi,09:20,Vip,420₹,13,0
Mumbai,CinepolisSeawoodsLT,Hindi,09:20,Premium,220₹,57,0
Mumbai,CinepolisSeawoodsLT,Hindi,09:20,Executive,200₹,70,0
Mumbai,CinepolisSeawoodsLT,Hindi,09:20,Normal,180₹,32,0
Mumbai,CinepolisVivianaMall,Hindi,09:20,Normal,120₹,25,0
Mumbai,CinepolisVivianaMall,Hindi,09:20,Premium,120₹,43,30
Mumbai,CinepolisVivianaMall,Hindi,09:20,Executive,120₹,97,11
Pune,InoxElproCitySquarePune,Hindi,09:25,Royale,170₹,45,4
Pune,InoxElproCitySquarePune,Hindi,09:25,Club,150₹,78,2
Pune,InoxElproCitySquarePune,Hindi,09:25,Executive,130₹,26,0
Gurgaon,PvrAmbienceGoldGurgaon,Hindi,09:35,Platinum,500₹,28,0
Gurgaon,PvrAmbienceGoldGurgaon,Hindi,09:35,PlatinumSuperior,500₹,16,0
Gwalior,FunCinemaDdCityMall,Hindi,09:40,Executive,130₹,123,22
Gwalior,FunCinemaDdCityMall,Hindi,09:40,Normal,120₹,60,0
Pune,InoxAmanoraMallHadapsar,Hindi,09:45,Royale,280₹,6,2
Pune,InoxAmanoraMallHadapsar,Hindi,09:45,Club,190₹,157,4
Pune,InoxAmanoraMallHadapsar,Hindi,09:45,Executive,190₹,42,0
DelhiNcr,CinepolisDlfAvenue,Hindi,09:45,Vip,400₹,8,0
DelhiNcr,CinepolisDlfAvenue,Hindi,09:45,Premium,180₹,34,13
DelhiNcr,CinepolisDlfAvenue,Hindi,09:45,Executive,160₹,56,0
