City,Name,Language,Time,Type,Price,Capacity,Booked
Vizianagaram,SvcRanjaniAndShivaranjaniVizianagaram,Telugu,09:00,Gold,177₹,189,3
Vizianagaram,SvcRanjaniAndShivaranjaniVizianagaram,Telugu,09:00,Silver,112₹,62,0
Chinnamanur,BharathTheatreDtsChinnamanur,Tamil,10:00,FirstClass,130₹,150,0
Thalassery,CarnivalDowntownThalassery,Tamil,10:00,ExecutiveOffline,110₹,131,15
Kambainallur,TmsTheatre2KDtsKambainallur,Tamil,10:00,FirstClass,100₹,128,0
Bangalore,CinepolisEtaNammaMall,Tamil,10:00,Normal,130₹,9,0
Bangalore,CinepolisEtaNammaMall,Tamil,10:00,Premium,130₹,33,7
Bangalore,CinepolisEtaNammaMall,Tamil,10:00,Executive,130₹,78,4
Bangalore,InnovativeMultiplexMarathahalli,Tamil,10:00,Premium,150₹,36,5
Perinthalmanna,VismayaCinemasPerinthalmanna,Tamil,10:00,Platinum,100₹,111,9
Tirupur,CharanCinemas2K71Tirupur,Tamil,10:30,Elite,100₹,202,55
Perundurai,DeviChitraTheatreACAtmosCosmoCinemas,Tamil,10:30,Platinum,150₹,15,0
Perundurai,DeviChitraTheatreACAtmosCosmoCinemas,Tamil,10:30,Gold,120₹,94,2
Tirupur,CineParkTheatreTirupur,Tamil,10:30,BoxA,90₹,41,0
Tirupur,CineParkTheatreTirupur,Tamil,10:30,BoxB,90₹,41,41
Tirupur,CineParkTheatreTirupur,Tamil,10:30,FirstClass,80₹,341,62
Krishnagiri,RaviCinemasAC4KAtmosKaveripattinam,Tamil,10:30,Gold,100₹,204,18
Krishnagiri,RaviCinemasAC4KAtmosKaveripattinam,Tamil,10:30,Silver,70₹,262,0
Coimbatore,ApaCinemasAC3DDolbyAtmos64Channel,Tamil,10:30,Elite,120₹,20,20
Coimbatore,ApaCinemasAC3DDolbyAtmos64Channel,Tamil,10:30,Platinum,110₹,136,44
Coimbatore,ApaCinemasAC3DDolbyAtmos64Channel,Tamil,10:30,Gold,90₹,216,24
Coimbatore,ApaCinemasAC3DDolbyAtmos64Channel,Tamil,10:30,Silver,50₹,24,24
Erode,VelTheatreDtsSivagiri,Tamil,10:30,Firstclass,80₹,182,0
Gobichettipalayam,CosmoCinemasACKolappalur,Tamil,10:30,FirstClass,100₹,323,0
Gobichettipalayam,CosmoCinemasACKolappalur,Tamil,10:30,SecondClass,100₹,24,0
Bangalore,KrishnaTheatreACBommanahalli,Tamil,10:30,First,100₹,479,479
Bangalore,KrishnaTheatreACBommanahalli,Tamil,10:30,Second,100₹,240,90
Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:30,Box1,150₹,12,12
Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:30,Box2,150₹,12,12
Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:30,Executive,100₹,166,16
Tirupur,SrinivasaMultiplex4K3DTirupur,Tamil,10:30,Balcony,110₹,173,4
Tirupur,SrinivasaMultiplex4K3DTirupur,Tamil,10:30,FirstClass,100₹,306,0
Gobichettipalayam,ZeonCinemasGobichettipalayam,Tamil,10:30,Platinum,190₹,12,0
Gobichettipalayam,ZeonCinemasGobichettipalayam,Tamil,10:30,Gold,150₹,106,12
Gobichettipalayam,ZeonCinemasGobichettipalayam,Tamil,10:30,Silver,100₹,14,7
Krishnagiri,AnandTheaterKrishnagiri,Tamil,10:30,BalconyClass,120₹,103,0
Krishnagiri,AnandTheaterKrishnagiri,Tamil,10:30,FirstClass,100₹,144,0
Krishnagiri,AnandTheaterKrishnagiri,Tamil,10:30,SecondClass,100₹,228,0
Krishnagiri,AnandTheaterKrishnagiri,Tamil,10:30,ThirdClass,100₹,178,0
Thanipadi,BharathTheatreThanipadi,Tamil,10:30,FirstClass,100₹,300,0
NeyveliTownship,SriNidhiRathinaCineplex4K3DDolbyAtmosNeyveliTownship,Tamil,10:40,FirstClass,150₹,146,12
NeyveliTownship,SriNidhiRathinaCineplex4K3DDolbyAtmosNeyveliTownship,Tamil,10:40,SecondClass,150₹,24,24
Tirupur,GbDeluxeCineTheatrePalladam,Tamil,10:45,BoxA,110₹,45,0
Tirupur,GbDeluxeCineTheatrePalladam,Tamil,10:45,BoxB,110₹,45,0
Tirupur,GbDeluxeCineTheatrePalladam,Tamil,10:45,Platinum,80₹,327,0
Tirupur,GbDeluxeCineTheatrePalladam,Tamil,10:45,Gold,80₹,156,0
Tirupur,GbDeluxeCineTheatrePalladam,Tamil,10:45,Silver,80₹,79,0
Paramathivelur,SriAbiramiTheatreACParamathivelur,Tamil,10:45,Firstclass,100₹,144,68
Paramathivelur,SriAbiramiTheatreACParamathivelur,Tamil,10:45,Secondclass,100₹,285,0
Tirupur,TamilnaduCinemasTirupur,Tamil,10:45,BoxA,130₹,29,29
Tirupur,TamilnaduCinemasTirupur,Tamil,10:45,BoxB,130₹,28,6
Tirupur,TamilnaduCinemasTirupur,Tamil,10:45,GoldClass,120₹,544,45
Tirupur,TamilnaduCinemasTirupur,Tamil,10:45,SecondClass,90₹,324,18
Vijayawada,CapitalCinemasTrendsetmall,Telugu,10:45,Gold,295₹,27,3
Vijayawada,CapitalCinemasTrendsetmall,Telugu,10:45,Silver,177₹,21,6
Bangalore,InoxForumNeighbourhoodMallWhiteField,Tamil,10:45,Silver,160₹,67,10
Bangalore,InoxForumNeighbourhoodMallWhiteField,Tamil,10:45,Premiere,150₹,78,0
Coimbatore,BabaCinemas4KDolbyAtmos,Tamil,10:45,Box,160₹,29,0
Coimbatore,BabaCinemas4KDolbyAtmos,Tamil,10:45,Elite,160₹,259,2
Coimbatore,BabaCinemas4KDolbyAtmos,Tamil,10:45,Gl,120₹,609,3
Coimbatore,BabaCinemas4KDolbyAtmos,Tamil,10:45,Tc,65₹,93,0
Tirupur,RevathiTheatreAC2KDolby71Tirupur,Tamil,10:55,FirstClass,100₹,356,126
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Tamil,11:00,DiamondSofa,200₹,4,0
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Tamil,11:00,Gold,150₹,173,0
Hyderabad,Sandhya35Mm2KDolbyAtmosRtcXRoad,Telugu,11:00,Balcony,175₹,731,563
Hyderabad,Sandhya35Mm2KDolbyAtmosRtcXRoad,Telugu,11:00,FrontCircle,110₹,109,72
Hyderabad,Sandhya35Mm2KDolbyAtmosRtcXRoad,Telugu,11:00,ThirdClass,50₹,215,140
Tiruvuru,SriSriKrishnaPicturePlaceTiruvuru,Telugu,11:00,ReservedClass,100₹,259,18
Tiruvuru,SriSriKrishnaPicturePlaceTiruvuru,Telugu,11:00,FirstClass,80₹,65,0
Bobbili,TbrCinemasBobbili,Telugu,11:00,Platinum,112₹,256,256
Bobbili,TbrCinemasBobbili,Telugu,11:00,Silver,90₹,79,79
Ponnur,PvsTheatrePonnur,Telugu,11:00,FirstClass,80₹,225,0
Ponnur,PvsTheatrePonnur,Telugu,11:00,SecondClass,50₹,75,75
Addanki,VnsCineComplexAddanki,Telugu,11:00,Balcony,110₹,274,2
Addanki,VnsCineComplexAddanki,Telugu,11:00,FirstClass,110₹,88,0
