State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:00,Classic,160₹,113,2
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:20,Box,400₹,10,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:20,Gold,150₹,139,56
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,09:40,Recliner,450₹,26,2
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,09:40,Classic,180₹,140,4
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:45,Gold,160₹,88,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:45,Silver,140₹,51,0
Haryana,Hisar,SuncityCinemaHisar,Punjabi,09:45,Platinum,150₹,205,0
Haryana,Hisar,SuncityCinemaHisar,Punjabi,09:45,Gold,150₹,205,0
Haryana,Hisar,SuncityCinemaHisar,Punjabi,09:45,Silver,130₹,205,0
Punjab,Dasuya,PresidentCinemasAdarshNagar,Punjabi,09:50,Diamond,200₹,36,0
Punjab,Dasuya,PresidentCinemasAdarshNagar,Punjabi,09:50,Economy,150₹,53,0
Punjab,Fazilka,MrTowerMultiplexFazilka,Punjabi,10:00,Platinum,200₹,15,0
Punjab,Fazilka,MrTowerMultiplexFazilka,Punjabi,10:00,Gold,100₹,116,0
Punjab,Fazilka,MrTowerMultiplexFazilka,Punjabi,10:00,Silver,100₹,24,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,10:10,Executive,120₹,168,138
Punjab,Sangrur,NySangrurSangrur,Punjabi,10:15,Bx,250₹,14,0
Punjab,Sangrur,NySangrurSangrur,Punjabi,10:15,Dm,180₹,102,0
Punjab,Sangrur,NySangrurSangrur,Punjabi,10:15,Gl,150₹,90,0
Haryana,Hisar,EliteCinemasHisar,Punjabi,10:30,Lounge,250₹,30,0
Haryana,Hisar,EliteCinemasHisar,Punjabi,10:30,Gold,100₹,30,0
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:30,Recliner,400₹,12,4
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:30,Executive,200₹,26,8
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:30,Silver,150₹,46,11
Haryana,Ambala,FunCinemaGalaxyMall,Punjabi,10:50,Executive,160₹,150,6
Haryana,Ambala,FunCinemaGalaxyMall,Punjabi,10:50,Normal,150₹,56,8
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,11:30,Prime,200₹,8,5
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,11:30,Classic,160₹,258,6
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:30,Recliner,380₹,8,5
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:30,Prime,270₹,10,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:30,ClassicPlus,185₹,146,12
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:30,Classic,155₹,95,2
UttarPradesh,Noida,PvrLogixCityCentreNoida,Punjabi,11:50,Classic,149₹,78,8
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,11:50,Platinum,220₹,27,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,11:50,Gold,170₹,121,0
