State,City,Name,Language,Time,Type,Price,Capacity,Booked
Assam,Guwahati,GoldCinemaNarengi,Assamese,11:00,Diamond,180₹,94,10
Assam,Guwahati,GoldCinemaNarengi,Assamese,11:00,Gold,140₹,58,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,11:00,Silver,120₹,66,0
Assam,Guwahati,CinepolisCentralMall,Assamese,12:20,Vip,400₹,4,0
Assam,Guwahati,CinepolisCentralMall,Assamese,12:20,Premium,200₹,42,2
Assam,Guwahati,CinepolisCentralMall,Assamese,12:20,Executive,180₹,116,0
Assam,Guwahati,CinepolisCentralMall,Assamese,12:20,Normal,160₹,24,0
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,14:00,Gold,150₹,73,13
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,14:00,Silver,120₹,31,0
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:10,Business,290₹,14,4
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:10,Platinum,240₹,192,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:10,Gold,190₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:10,Silver,100₹,34,6
Assam,Guwahati,GoldCinemaNarengi,Assamese,15:45,Diamond,180₹,100,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,15:45,Gold,140₹,100,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,15:45,Silver,120₹,100,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,15:55,Business,340₹,17,7
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,15:55,Platinum,280₹,22,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,15:55,Executive,240₹,150,14
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,15:55,Gold,190₹,85,1
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,15:55,Silver,100₹,50,9
Assam,Guwahati,GoldCinemaNarengi,Assamese,17:00,Diamond,180₹,100,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,17:00,Gold,140₹,100,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,17:00,Silver,120₹,100,0
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,17:15,Gold,120₹,54,10
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,17:15,Silver,100₹,24,0
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,17:15,Gold,120₹,54,10
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,17:15,Silver,100₹,24,0
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:30,Royal,350₹,14,5
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:30,Club,230₹,55,35
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:30,Executive,150₹,32,26
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:30,Premier,120₹,32,10
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:10,Business,250₹,60,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:10,Platinum,200₹,75,3
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:10,Gold,180₹,90,5
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:10,Silver,130₹,30,0
Assam,Guwahati,CinepolisCentralMall,Assamese,18:40,Vip,450₹,2,0
Assam,Guwahati,CinepolisCentralMall,Assamese,18:40,Premium,210₹,41,14
Assam,Guwahati,CinepolisCentralMall,Assamese,18:40,Executive,190₹,116,10
Assam,Guwahati,CinepolisCentralMall,Assamese,18:40,Normal,170₹,24,0
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,20:00,Gold,150₹,73,13
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,20:00,Silver,120₹,31,0
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:00,Business,290₹,14,4
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:00,Platinum,240₹,192,13
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:00,Gold,190₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:00,Silver,100₹,34,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:10,Business,340₹,17,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:10,Platinum,280₹,22,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:10,Executive,240₹,150,10
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:10,Gold,190₹,85,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:10,Silver,100₹,50,1
