State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,09:00,Recliner,220₹,14,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,09:00,ClassicPlus,129₹,115,19
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,09:00,Classic,100₹,53,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Malayalam,09:55,Royale,220₹,9,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Malayalam,09:55,Club,160₹,70,9
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Malayalam,09:55,Executive,150₹,128,0
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Recliner,300₹,13,0
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Prime,160₹,143,21
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,ClassicPlus,140₹,133,0
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Classic,110₹,57,0
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Recliner,240₹,13,10
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Prime,125₹,143,29
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,ClassicPlus,110₹,133,9
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Classic,89₹,57,0
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,10:00,GoldLounge,190₹,32,6
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,10:00,ExecutiveOffline,110₹,96,1
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,151,16
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,10:15,Gold,400₹,54,8
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,10:15,Gold,400₹,54,11
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,10:15,PremiumOffline,100₹,108,36
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,10:20,ExecutiveOffline,100₹,145,22
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,RoyalRecliner,200₹,15,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,Club,130₹,221,7
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,Royal,130₹,26,6
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,Executive,100₹,36,0
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,10:20,ClassicOffline,100₹,194,15
Kerala,Edacheri,VeecheeCinemasAC2K3DEdacheri,Malayalam,10:30,Executive,100₹,184,0
Kerala,Thiruvalla,ChilankaTheatreACDts2KThiruvalla,Malayalam,10:30,Balcony,130₹,277,50
Kerala,Payyanur,RajadhaniCinemasPayyanur,Malayalam,10:30,UpperCircle,130₹,502,0
Kerala,Payyanur,AradhanaArchanaMovieHousePayyanur,Malayalam,10:30,Balcony,130₹,144,0
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,10:30,GoldClass,140₹,185,4
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,10:30,GoldOffline,180₹,7,0
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,10:30,ExecutiveOffline,110₹,135,16
UttarPradesh,Noida,PvrLogixCityCentreNoida,Malayalam,10:40,Classic,112₹,78,2
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:45,Gold,300₹,15,5
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:45,Silver,190₹,172,24
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:45,ExecutiveOffline,160₹,100,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:45,NormalOffline,100₹,20,0
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,10:45,Platinum,140₹,84,7
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,10:45,Gold,110₹,402,7
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,10:45,Executive,80₹,88,0
Kerala,Kottakkal,SangeethAndLumiereDolbyAtmosKottakkal,Malayalam,11:00,Executive,110₹,443,2
Kerala,Manjeri,KairaliCinemasDolbyAtmosManjeri,Malayalam,11:00,LuxusCircle,130₹,309,8
Kerala,Kottarakkara,MinervaCinemazACDts,Malayalam,11:00,Gold,129₹,457,0
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,11:00,FirstClass,140₹,202,89
AndhraPradesh,Addanki,VnsCineComplexAddanki,Telugu,11:00,Balcony,100₹,183,0
AndhraPradesh,Addanki,VnsCineComplexAddanki,Telugu,11:00,FirstClass,78₹,60,0
Karnataka,Bellary,RrCinemasBellary,Telugu,11:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Telugu,11:00,Silver,100₹,242,132
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,PlatinumRecliner,300₹,45,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,Gold,150₹,482,5
AndhraPradesh,Addanki,VnsCineComplexAddanki,Telugu,11:00,Balcony,80₹,183,0
AndhraPradesh,Addanki,VnsCineComplexAddanki,Telugu,11:00,FirstClass,50₹,60,0
Kerala,Pandikkad,IllamCinemasPandikkad,Malayalam,11:00,DiamondCircle,129₹,253,2
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,11:00,Platinum,130₹,110,31
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,11:00,GoldOffline,110₹,188,0
Kerala,Wandoor,HariharFilmCity4KSony3DWandoor,Malayalam,11:15,Executive,129₹,236,0
AndhraPradesh,Guntur,NaazCinemasGuntur,Telugu,11:15,GoldClass,145₹,167,25
AndhraPradesh,Guntur,NaazCinemasGuntur,Telugu,11:15,EliteClass,80₹,61,12
AndhraPradesh,Chirala,SureshMahalChirala,Telugu,11:15,Balcony,100₹,93,49
AndhraPradesh,Chirala,SureshMahalChirala,Telugu,11:15,FirstClass,100₹,176,129
AndhraPradesh,Chirala,SureshMahalChirala,Telugu,11:15,SecondClass,100₹,138,0
Kerala,Alappuzha,RaibanCineHouseAC2K71Dolby,Malayalam,11:15,Balcony,125₹,206,100
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,11:15,GoldLounge,350₹,36,8
AndhraPradesh,Adoni,RajshriCineComplexAdoni,Telugu,11:30,Balcony,100₹,56,0
AndhraPradesh,Adoni,RajshriCineComplexAdoni,Telugu,11:30,FirstClass,100₹,194,0
AndhraPradesh,Adoni,RajshriCineComplexAdoni,Telugu,11:30,SecondClass,70₹,69,0
Kerala,Malappuram,PadmamTheatreAC2KMalappuram,Malayalam,11:30,Platinum,110₹,254,2
AndhraPradesh,Guntur,HollywoodBollywoodTheaters,Telugu,11:30,Reserved,145₹,200,1
AndhraPradesh,Guntur,HollywoodBollywoodTheaters,Telugu,11:30,SecondClass,80₹,139,6
Kerala,Koottanad,SapthaTharangScreen22KAtmosKannichirakkalMall,Malayalam,11:30,Executive,220₹,17,0
Kerala,Koottanad,SapthaTharangScreen22KAtmosKannichirakkalMall,Malayalam,11:30,Platinum,110₹,252,72
Kerala,Calicut,MagicFramesRadha2KDolbyDigitalCalicut,Malayalam,11:30,Balcony,150₹,140,34
Kerala,Calicut,MagicFramesRadha2KDolbyDigitalCalicut,Malayalam,11:30,FirstClass,130₹,635,135
