City,Name,Language,Time,Type,Price,Capacity,Booked
Vadodara,CinemarcVip,Gujarathi,09:00,Royal,100₹,35,0
Vadodara,CinemarcVip,Gujarathi,09:00,Gold,80₹,37,0
Vadodara,CinemarcVip,Gujarathi,09:00,Silver,80₹,158,0
Vadodara,CinemarcVip,Gujarathi,09:00,Premium,70₹,46,0
Bharuch,FunCinemasShilpiMultiplex,Gujarathi,09:15,PlatinumRecliner,180₹,16,0
Bharuch,FunCinemasShilpiMultiplex,Gujarathi,09:15,Gold,130₹,126,0
Bharuch,FunCinemasShilpiMultiplex,Gujarathi,09:15,Silver,110₹,49,0
Vadodara,CinemarcVihar,Gujarathi,09:20,Royal,90₹,25,4
Vadodara,CinemarcVihar,Gujarathi,09:20,Silver,80₹,190,0
Vadodara,CinemarcVihar,Gujarathi,09:20,Vip,80₹,17,0
Vadodara,CinemarcVihar,Gujarathi,09:20,Premier,70₹,44,0
Vadodara,CinemarcVihar,Gujarathi,09:20,Executive,70₹,182,0
Anand,DiyaCinema100FeetRoad,Gujarathi,09:30,Sofa,150₹,100,0
Anand,DiyaCinema100FeetRoad,Gujarathi,09:30,Platinum,110₹,100,0
Ahmedabad,MirajCityPulseManiNagar,Gujarathi,09:45,Gold,140₹,56,0
Surat,ValentineMultiplexPipload,Gujarathi,09:45,Executive,110₹,237,29
Surat,ValentineMultiplexPipload,Gujarathi,09:45,Royal,90₹,194,0
Vapi,EmpressMultiplexVapi,Gujarathi,10:00,Gold,120₹,100,0
Vapi,EmpressMultiplexVapi,Gujarathi,10:00,Silver,120₹,100,0
Vapi,EmpressMultiplexVapi,Gujarathi,10:00,Platinum,120₹,100,0
Jamnagar,InoxCrystalMallJamnagar,Gujarathi,10:15,Royal,112₹,34,2
Jamnagar,InoxCrystalMallJamnagar,Gujarathi,10:15,Club,100₹,116,2
Jamnagar,InoxCrystalMallJamnagar,Gujarathi,10:15,Executive,100₹,20,0
Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:30,Recliner,250₹,9,0
Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:30,Prime,110₹,42,0
Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:30,Classic,110₹,42,0
Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:30,PrimePlus,110₹,70,0
Anand,GoldCinemaAnand,Gujarathi,10:30,Platinum,130₹,100,0
Anand,GoldCinemaAnand,Gujarathi,10:30,Diamond,100₹,100,0
Anand,GoldCinemaAnand,Gujarathi,10:30,Gold,100₹,100,0
Ahmedabad,TimeCinemaAhmedabadCgSquareMall,Gujarathi,10:45,Standard,180₹,108,8
Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,11:00,Gold,110₹,100,0
Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,11:00,Silver,100₹,100,0
Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,Recliner,300₹,24,5
Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,Prime,140₹,87,13
Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,ClassicPlus,120₹,30,0
Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,Classic,110₹,30,0
Umreth,AprCinemaUmreth,Gujarathi,11:30,Platinum,110₹,10,0
Umreth,AprCinemaUmreth,Gujarathi,11:30,Gold,110₹,48,0
Umreth,AprCinemaUmreth,Gujarathi,11:30,Silver,90₹,48,0
Anand,DiyaCinema100FeetRoad,Gujarathi,12:00,Sofa,150₹,100,0
Anand,DiyaCinema100FeetRoad,Gujarathi,12:00,Platinum,120₹,100,0
Veraval,FunCinemaAradhanaCineplex,Gujarathi,12:00,Gold,120₹,100,0
Veraval,FunCinemaAradhanaCineplex,Gujarathi,12:00,Silver,120₹,100,0
Junagadh,SurajCineplexJunagadh,Gujarathi,12:00,Sofa,160₹,100,0
Junagadh,SurajCineplexJunagadh,Gujarathi,12:00,Executive,140₹,100,0
Ahmedabad,VijayCityLightBavla,Gujarathi,12:00,Gold,150₹,100,0
Ahmedabad,VijayCityLightBavla,Gujarathi,12:00,Silver,100₹,100,0
Dholka,SilverScreenCinemasDholka,Gujarathi,12:00,Balcony,150₹,50,50
Dholka,SilverScreenCinemasDholka,Gujarathi,12:00,Upper,120₹,75,75
Vapi,CarnivalGeetCinemasGidc,Gujarathi,12:00,PlatinumOffline,110₹,64,0
Vapi,CarnivalGeetCinemasGidc,Gujarathi,12:00,Silver,100₹,89,0
Vapi,CarnivalGeetCinemasGidc,Gujarathi,12:00,GoldOffline,100₹,92,0
Ahmedabad,PvrArvedTranscube,Gujarathi,12:00,Classic,130₹,33,0
Ahmedabad,PvrArvedTranscube,Gujarathi,12:00,Prime,130₹,100,13
Gandhinagar,CityPulseCinemasVillageKudasan,Gujarathi,12:00,Premiere,220₹,10,0
Gandhinagar,CityPulseCinemasVillageKudasan,Gujarathi,12:00,Gold,160₹,10,0
Gandhinagar,CityPulseCinemasVillageKudasan,Gujarathi,12:00,Silver,110₹,10,0
Vapi,CarnivalGeetCinemasGidc,Gujarathi,12:00,PlatinumOffline,110₹,64,0
Vapi,CarnivalGeetCinemasGidc,Gujarathi,12:00,Silver,100₹,89,0
Vapi,CarnivalGeetCinemasGidc,Gujarathi,12:00,GoldOffline,100₹,92,0
Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,12:05,RoyalRecliners,250₹,6,0
Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,12:05,Royal,150₹,29,4
Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,12:05,Club,140₹,55,5
Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,12:05,Executive,140₹,22,0
Anand,GoldCinemaAnand,Gujarathi,12:15,Platinum,130₹,100,0
Anand,GoldCinemaAnand,Gujarathi,12:15,Diamond,110₹,100,0
Anand,GoldCinemaAnand,Gujarathi,12:15,Gold,110₹,100,0
Surat,InoxVrSuratDumasRoad,Gujarathi,12:20,RoyalRecliner,280₹,12,0
Surat,InoxVrSuratDumasRoad,Gujarathi,12:20,Royal,160₹,54,2
Surat,InoxVrSuratDumasRoad,Gujarathi,12:20,Club,140₹,122,2
Surat,InoxVrSuratDumasRoad,Gujarathi,12:20,Executive,112₹,34,0
Sanand,ArthMultiplexSanand,Gujarathi,12:30,Gold,100₹,100,0
Sanand,ArthMultiplexSanand,Gujarathi,12:30,Silver,100₹,100,0
Himmatnagar,NewStarCityMultiplexMotipura,Gujarathi,12:30,Platinum,200₹,100,0
Himmatnagar,NewStarCityMultiplexMotipura,Gujarathi,12:30,Gold,150₹,100,0
Himmatnagar,NewStarCityMultiplexMotipura,Gujarathi,12:30,Silver,100₹,100,0
Nadiad,VaishaliMultiplexNadiad,Gujarathi,12:30,Executive,120₹,100,0
Nadiad,VaishaliMultiplexNadiad,Gujarathi,12:30,Marvel,100₹,100,0
Nadiad,VaishaliMultiplexNadiad,Gujarathi,12:30,Royal,80₹,100,0
Surat,ValentineMultiplexPipload,Gujarathi,12:40,Executive,110₹,237,237
Surat,ValentineMultiplexPipload,Gujarathi,12:40,Royal,90₹,194,40
Anjar,FunCinemasModernCineplex,Gujarathi,12:50,Platinum,250₹,100,0
Anjar,FunCinemasModernCineplex,Gujarathi,12:50,Gold,150₹,100,0
Anjar,FunCinemasModernCineplex,Gujarathi,12:50,Silver,100₹,100,0
Mumbai,PvrMilapKandivaliW,Gujarathi,12:50,Classic,150₹,108,3
Mumbai,PvrMilapKandivaliW,Gujarathi,12:50,Prime,150₹,57,16
Rajkot,RajshreeTalkiesRajkot,Gujarathi,13:00,Balcony,150₹,100,0
Rajkot,RajshreeTalkiesRajkot,Gujarathi,13:00,Upper,130₹,100,0
Gandhidham,MirajCinemasMadhuban,Gujarathi,13:00,Platinum,200₹,12,0
Gandhidham,MirajCinemasMadhuban,Gujarathi,13:00,Gold,150₹,62,0
Gandhidham,MirajCinemasMadhuban,Gujarathi,13:00,Executive,110₹,185,0
Gandhidham,MirajCinemasMadhuban,Gujarathi,13:00,Special,100₹,42,0
Ahmedabad,MirajCinemasVitthalPlazaNaroda,Gujarathi,13:00,Platinum,200₹,10,0
Ahmedabad,MirajCinemasVitthalPlazaNaroda,Gujarathi,13:00,Executive,110₹,114,0
Jamnagar,InoxRelianceMallMotikhavdi,Gujarathi,13:05,Platinum,140₹,20,0
Jamnagar,InoxRelianceMallMotikhavdi,Gujarathi,13:05,Gold,112₹,134,0
Jamnagar,InoxRelianceMallMotikhavdi,Gujarathi,13:05,Silver,112₹,36,0
Surat,CinemaxIrisDumasRoad,Gujarathi,13:05,Prime,120₹,159,0
Surat,CinemaxIrisDumasRoad,Gujarathi,13:05,Classic,110₹,28,0
Gandhinagar,InoxRWorldAdalaj,Gujarathi,13:30,Platinum,190₹,36,2
Gandhinagar,InoxRWorldAdalaj,Gujarathi,13:30,Gold,140₹,178,4
Gandhinagar,InoxRWorldAdalaj,Gujarathi,13:30,Silver,112₹,188,0
Vadodara,BansalMultiplexGotri,Gujarathi,13:30,Diamond,150₹,14,0
Vadodara,BansalMultiplexGotri,Gujarathi,13:30,Gold,100₹,14,0
Vadodara,BansalMultiplexGotri,Gujarathi,13:30,Platinum,100₹,68,0
Vadodara,BansalMultiplexGotri,Gujarathi,13:30,Premium,100₹,28,0
Vadodara,BansalMultiplexGotri,Gujarathi,13:30,Silver,80₹,14,0
Rajkot,InoxRWorldRajkot,Gujarathi,13:30,Platinum,140₹,172,9
Gandhinagar,InoxR21Gandhinagar,Gujarathi,13:35,Ebony,190₹,35,0
Vadodara,PvrDeepVadodara,Gujarathi,13:35,Prime,100₹,78,0
Vadodara,PvrDeepVadodara,Gujarathi,13:35,PrimePlus,100₹,118,22
Vadodara,PvrDeepVadodara,Gujarathi,13:35,Classic,100₹,76,0
Jamnagar,InoxCrystalMallJamnagar,Gujarathi,13:40,Royal,140₹,34,2
Jamnagar,InoxCrystalMallJamnagar,Gujarathi,13:40,Club,112₹,112,4
Jamnagar,InoxCrystalMallJamnagar,Gujarathi,13:40,Executive,112₹,20,0
Nadiad,InoxOpalOneMallNadiad,Gujarathi,13:40,RoyalRecliners,140₹,15,3
Nadiad,InoxOpalOneMallNadiad,Gujarathi,13:40,Royal,100₹,52,1
Nadiad,InoxOpalOneMallNadiad,Gujarathi,13:40,Club,90₹,128,0
Nadiad,InoxOpalOneMallNadiad,Gujarathi,13:40,Executive,80₹,32,0
Ahmedabad,PvrMotera,Gujarathi,13:45,Recliner,250₹,23,3
Ahmedabad,PvrMotera,Gujarathi,13:45,Classic,130₹,54,0
Ahmedabad,PvrMotera,Gujarathi,13:45,Prime,130₹,192,18
Umreth,AprCinemaUmreth,Gujarathi,14:00,Platinum,110₹,10,9
Umreth,AprCinemaUmreth,Gujarathi,14:00,Gold,110₹,48,0
Umreth,AprCinemaUmreth,Gujarathi,14:00,Silver,90₹,48,0
Vadodara,PvrEvaMallManjalpur,Gujarathi,14:00,Prime,150₹,48,0
