City,Name,Language,Time,Type,Price,Capacity,Booked
Dehradun,PvrPacificMallDehradun,Punjabi,09:00,PrimePlus,280₹,10,0
Dehradun,PvrPacificMallDehradun,Punjabi,09:00,Prime,160₹,87,0
Dehradun,PvrPacificMallDehradun,Punjabi,09:00,Classic,150₹,24,0
DelhiNcr,PvrPacificSubhashNagar,Punjabi,09:00,Prime,250₹,68,3
DelhiNcr,PvrPacificSubhashNagar,Punjabi,09:00,Classic,220₹,52,0
Mohali,CinepolisBestechSquareMall,Punjabi,09:00,Vip,300₹,16,0
Mohali,CinepolisBestechSquareMall,Punjabi,09:00,Premium,180₹,51,3
Mohali,CinepolisBestechSquareMall,Punjabi,09:00,Executive,160₹,199,0
Mohali,CinepolisBestechSquareMall,Punjabi,09:00,Normal,140₹,42,0
Chandigarh,PvrCentraChandigarh,Punjabi,09:00,Prime,109₹,138,20
Chandigarh,PvrCentraChandigarh,Punjabi,09:00,Classic,94₹,84,0
Amritsar,CinepolisMallOfAmritsar,Punjabi,09:10,Vip,300₹,16,0
Amritsar,CinepolisMallOfAmritsar,Punjabi,09:10,Executive,150₹,126,0
Amritsar,CinepolisMallOfAmritsar,Punjabi,09:10,Normal,140₹,75,0
Firozpur,SilverBirdCinemas,Punjabi,09:15,Box,400₹,20,0
Firozpur,SilverBirdCinemas,Punjabi,09:15,Gold,150₹,194,64
Jammu,MovietimeJammu,Punjabi,09:15,Silver,230₹,100,40
Jammu,MovietimeJammu,Punjabi,09:15,Classic,230₹,75,48
Fazilka,MrTowerMultiplexFazilka,Punjabi,09:15,Platinum,200₹,15,4
Fazilka,MrTowerMultiplexFazilka,Punjabi,09:15,Gold,150₹,116,0
Fazilka,MrTowerMultiplexFazilka,Punjabi,09:15,Silver,150₹,24,0
DelhiNcr,PvrNaraina,Punjabi,09:15,Classic,180₹,208,0
Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:15,Box,280₹,3,0
Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:15,Recliner,280₹,12,6
Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:15,Gold,180₹,106,16
Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:15,Silver,150₹,26,0
Ambala,FunCinemaGalaxyMall,Punjabi,09:20,Executive,200₹,216,0
Ambala,FunCinemaGalaxyMall,Punjabi,09:20,Normal,190₹,81,3
Noida,PvrLogixCityCentreNoida,Punjabi,09:20,Classic,190₹,78,0
Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Gold,160₹,100,0
Bathinda,FunPlazaKotkapura,Punjabi,09:30,Executive,120₹,191,157
YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,09:30,Premium,170₹,88,0
YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,09:30,Club,170₹,156,26
YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,09:30,Lounge,170₹,18,8
Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Normal,130₹,32,0
Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Premium,130₹,65,10
Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Executive,130₹,95,0
Chandigarh,FunCinemasRepublicMall,Punjabi,09:30,Normal,100₹,60,0
Chandigarh,FunCinemasRepublicMall,Punjabi,09:30,Executive,100₹,136,0
