State,City,Name,Language,Time,Type,Price,Capacity,Booked
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,Box1,300₹,18,0
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,Box2,300₹,4,0
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,GoldC,160₹,136,46
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,SilverC,130₹,138,46
Delhi,DelhiNcr,PvrVikaspuri,Punjabi,09:00,Classic,130₹,193,8
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:00,Gold,230₹,29,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:00,Special,150₹,142,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:00,Executive,150₹,150,0
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Recliner,280₹,18,10
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Gold,180₹,134,20
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Silver,150₹,34,0
Chandigarh,Chandigarh,CinepolisTdiJagatMall,Punjabi,09:00,Executive,112₹,129,8
Chandigarh,Chandigarh,CinepolisTdiJagatMall,Punjabi,09:00,Normal,95₹,70,0
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,09:00,Prime,109₹,138,22
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,09:00,Classic,94₹,84,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:00,Recliner,350₹,8,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:00,Prime,245₹,10,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:00,ClassicPlus,160₹,146,1
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:00,Classic,150₹,95,2
Haryana,Sonipat,MaxxCinemaSonipat,Punjabi,09:00,Gold,300₹,12,0
Haryana,Sonipat,MaxxCinemaSonipat,Punjabi,09:00,Premur,99₹,172,34
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,09:05,Normal,100₹,66,0
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,09:05,Executive,100₹,149,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:10,Executive,170₹,150,2
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:10,Normal,160₹,100,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Vip,300₹,10,2
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Premium,180₹,38,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Executive,160₹,69,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Normal,140₹,26,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,09:15,Platinum,170₹,28,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,09:15,Gold,120₹,122,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:20,Box,400₹,20,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:20,Gold,150₹,194,64
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:20,Normal,130₹,32,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:20,Premium,130₹,37,4
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:20,Executive,130₹,96,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,09:25,Platinum,250₹,25,25
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,09:25,Silver,200₹,156,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,09:25,Gold,200₹,239,19
Punjab,Sangrur,NySangrurSangrur,Punjabi,09:30,Bx,200₹,14,0
Punjab,Sangrur,NySangrurSangrur,Punjabi,09:30,Dm,150₹,102,5
Punjab,Sangrur,NySangrurSangrur,Punjabi,09:30,Gl,110₹,90,0
Haryana,Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,09:30,Platinum,160₹,67,2
Haryana,Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,09:30,Gold,140₹,84,0
Haryana,Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,09:30,Silver,110₹,28,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,09:30,Special,100₹,76,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,09:30,Executive,100₹,152,4
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,09:30,Executive,120₹,191,160
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Box,350₹,100,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Sofa,300₹,100,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Gold,160₹,100,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:30,Recliner,330₹,12,1
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:30,Prime,150₹,45,1
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:30,Classic,140₹,105,1
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:30,Prime,210₹,167,4
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:30,Classic,150₹,64,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:30,ClassicPlus,150₹,92,0
JammuAndKashmir,Jammu,MovietimeJammu,Punjabi,09:40,Gold,250₹,18,4
JammuAndKashmir,Jammu,MovietimeJammu,Punjabi,09:40,Silver,200₹,39,12
JammuAndKashmir,Jammu,MovietimeJammu,Punjabi,09:40,Classic,200₹,73,49
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,09:45,Recliner,200₹,12,6
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,09:45,Gold,170₹,146,53
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,09:45,Silver,170₹,72,18
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:45,Gold,150₹,88,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:45,Silver,110₹,51,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:45,Box1,200₹,100,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:45,Box2,200₹,100,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:45,Gold,100₹,100,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:45,Silver,100₹,100,0
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,09:45,Gold,150₹,43,1
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,09:45,Silver,100₹,114,2
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,09:45,Seasonal,80₹,16,0
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,09:45,Business,300₹,8,0
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,09:45,Gold,200₹,58,9
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,09:45,Silver,200₹,28,0
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,09:45,Normal,200₹,28,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:50,Premium,190₹,174,8
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:50,Executive,180₹,120,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:50,Normal,170₹,80,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:50,Premium,190₹,174,23
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:50,Executive,180₹,120,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:50,Normal,170₹,80,0
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:00,Platinum,300₹,14,9
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:00,Royal,250₹,8,4
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:00,Gold,200₹,16,11
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:00,Silver,170₹,33,22
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:00,NormalClass,150₹,11,11
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Platinum,160₹,100,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Gold,110₹,100,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Silver,110₹,100,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Gold,170₹,100,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Silver,170₹,100,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Punjabi,10:00,Classic,190₹,78,0
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,10:00,Platinum,190₹,198,4
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,10:00,Gold,190₹,79,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,10:00,PrimePlus,150₹,105,0
