State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,12:40,Recliner,260₹,12,1
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,12:40,Prime,160₹,108,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,12:40,Classic,130₹,36,0
Maharashtra,Ulhasnagar,MirajCinemasFuncityUlhasnagar,Marathi,12:45,Special,150₹,70,0
Maharashtra,Ambernath,StarMirajCinemasAmbernath,Marathi,13:00,Platinum,160₹,70,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,14:10,Classic,250₹,56,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,14:10,Prime,250₹,166,17
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,16:25,PrimePlus,140₹,63,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,16:25,Prime,120₹,100,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,16:25,Classic,100₹,70,0
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,18:00,GoldenClass,150₹,100,0
