State,City,Name,Language,Time,Type,Price,Capacity,Booked
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:30,Premium,150₹,113,2
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:30,Classic,150₹,75,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,10:00,Classic,99₹,76,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:00,RoyaleRecliners,250₹,13,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:00,Royale,140₹,32,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:00,Club,130₹,95,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:00,Executive,110₹,26,0
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:00,Recliner,149₹,11,11
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:00,Classic,99₹,120,0
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:00,Prime,99₹,72,12
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Hindi,10:00,Gold,240₹,44,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,10:05,Classic,110₹,28,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,10:05,Prime,110₹,69,20
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,10:15,Club,90₹,180,0
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,10:15,Executive,70₹,27,0
Uttarakhand,Dehradun,PvrPacificMallDehradun,Hindi,10:30,Prime,99₹,72,72
Uttarakhand,Dehradun,PvrPacificMallDehradun,Hindi,10:30,Classic,99₹,24,24
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,10:35,Classic,99₹,60,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,10:35,Prime,99₹,74,2
AndhraPradesh,PalasaKasibugga,HariShankarACDtsKasibugga,Telugu,11:00,Premium1,110₹,275,170
AndhraPradesh,PalasaKasibugga,HariShankarACDtsKasibugga,Telugu,11:00,Premium2,100₹,180,130
AndhraPradesh,PalasaKasibugga,HariShankarACDtsKasibugga,Telugu,11:00,NonPremium,80₹,176,176
AndhraPradesh,Visakhapatnam,UrvasiTheaterDolby2KACVishakhapatnam,Telugu,11:00,UcPremium,145₹,414,2
AndhraPradesh,Visakhapatnam,UrvasiTheaterDolby2KACVishakhapatnam,Telugu,11:00,NonPremium,100₹,140,0
Telangana,Hyderabad,CinepolisDslVirtueMall,Telugu,12:00,Vip,250₹,10,2
Telangana,Hyderabad,CinepolisDslVirtueMall,Telugu,12:00,Normal,195₹,25,0
Telangana,Hyderabad,CinepolisDslVirtueMall,Telugu,12:00,Executive,195₹,116,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,12:00,Classic,99₹,26,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,12:00,Prime,99₹,145,40
Gujarat,Anand,KalpanaTalkiesAnand,Hindi,12:30,Box,150₹,8,0
Gujarat,Anand,KalpanaTalkiesAnand,Hindi,12:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaTalkiesAnand,Hindi,12:30,Executive,90₹,106,0
Maharashtra,Junnar,ShevantaCinemaJunnar,Hindi,12:30,Gold,100₹,100,0
Karnataka,Bangalore,PvrForumMallKoramangala,Hindi,12:40,Lounger,180₹,11,0
Karnataka,Bangalore,PvrForumMallKoramangala,Hindi,12:40,Classic,160₹,161,28
Telangana,Hyderabad,CinepolisCcplMall,Telugu,13:00,Executive,195₹,121,3
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Telugu,13:00,Recliner,250₹,8,2
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Telugu,13:00,Classic,195₹,142,16
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,13:00,Recliner,149₹,11,11
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,13:00,Classic,99₹,34,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,13:00,Prime,99₹,40,28
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,13:00,ClassicPlus,99₹,136,14
AndhraPradesh,Vijayawada,CinepolisPvpSquare,Telugu,13:05,Normal,177₹,138,45
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,13:15,RoyaleRecliners,300₹,10,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,13:15,Royale,170₹,60,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,13:15,Club,160₹,93,2
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,13:15,Executive,150₹,36,0
