State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,BhoomikaTheatre2KMajestic,Kannada,10:30,Balcony,150₹,318,318
Karnataka,Bangalore,BhoomikaTheatre2KMajestic,Kannada,10:30,Middle,100₹,576,512
Karnataka,Mysore,PadmaTalkiesMysore,Kannada,10:30,Balcony,120₹,151,106
Karnataka,Mysore,PadmaTalkiesMysore,Kannada,10:30,Second,100₹,506,353
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:30,Recliner,280₹,16,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:30,Prime,150₹,90,4
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:30,Classic,112₹,108,0
Karnataka,Bellary,RrCinemasBellary,Kannada,11:00,Gold,150₹,173,102
Karnataka,Bellary,RrCinemasBellary,Kannada,11:00,Silver,100₹,132,60
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,12:00,Balcony,100₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,12:00,DressCircle,80₹,40,40
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,13:15,Club,170₹,200,2
Karnataka,Bangalore,BhoomikaTheatre2KMajestic,Kannada,13:30,Balcony,150₹,318,262
Karnataka,Bangalore,BhoomikaTheatre2KMajestic,Kannada,13:30,Middle,100₹,576,576
Karnataka,Mysore,PadmaTalkiesMysore,Kannada,13:30,Balcony,120₹,151,106
Karnataka,Mysore,PadmaTalkiesMysore,Kannada,13:30,Second,100₹,506,353
Karnataka,Bellary,RrCinemasBellary,Kannada,14:00,Gold,150₹,173,102
Karnataka,Bellary,RrCinemasBellary,Kannada,14:00,Silver,100₹,132,60
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,15:00,Balcony,100₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,15:00,DressCircle,80₹,40,40
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,15:45,Gold,350₹,10,2
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,15:45,Executive,180₹,192,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,15:45,Special,160₹,80,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,15:50,Prime,170₹,28,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,15:50,Classic,140₹,90,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,16:10,Premium,150₹,29,3
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,16:10,Executive,150₹,69,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,16:15,Royal,350₹,9,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,16:15,Club,210₹,297,4
Karnataka,Bellary,RrCinemasBellary,Kannada,17:00,Gold,150₹,173,102
Karnataka,Bellary,RrCinemasBellary,Kannada,17:00,Silver,100₹,132,60
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,18:00,Balcony,100₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,18:00,DressCircle,80₹,40,40
Karnataka,Bellary,RrCinemasBellary,Kannada,20:00,Gold,150₹,173,102
Karnataka,Bellary,RrCinemasBellary,Kannada,20:00,Silver,100₹,132,60
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,21:00,Balcony,100₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,21:00,DressCircle,80₹,40,40
