State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Bulandshahr,SuncityCinemaBulandshahr,Hindi,11:00,Platinum,250₹,240,0
UttarPradesh,Bulandshahr,SuncityCinemaBulandshahr,Hindi,11:00,Gold,180₹,240,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,11:00,Platinum,400₹,28,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,11:00,PlatinumSuperior,400₹,16,0
UttarPradesh,Noida,CarnivalTgipNoida,Hindi,11:15,Gold,150₹,199,3
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,11:45,Recliner,300₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,11:45,Prime,140₹,87,21
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,11:45,ClassicPlus,130₹,30,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Hindi,11:45,Classic,120₹,30,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,11:55,Gold,100₹,95,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,11:55,Platinum,100₹,39,0
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,11:55,Silver,100₹,65,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,11:55,RoyalRecliner,230₹,13,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,11:55,Club,112₹,63,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,11:55,Royal,112₹,37,1
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,11:55,Executive,90₹,36,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,11:55,RoyalRecliner,230₹,13,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,11:55,Club,112₹,63,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,11:55,Royal,112₹,37,1
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,11:55,Executive,90₹,36,0
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Hindi,12:00,Platinum,150₹,58,0
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Hindi,12:00,Gold,150₹,57,0
